Data/Hora;Placa;Nr. de Frota;Descricao;Modelo;Volume (l);Odometro;Horimetro;Custo(R$);Frentista;Cod. do Frentista;Bomba;Cod. da Bomba;Tanque;Cod do Tanque;Posto;Cod. do Posto
21/05/2025 00:03;CS2002;CS2002;Compactador Planalto12m³;VW 17.260 Mec.;33.504;24023;1889;0.00;012 CLEITON;-;DIESEL S-10 - 01;-;PA4 ;-;CONSORCIO LIMPA GYN PA4;-
21/05/2025 01:07;VM2017;VM2017;Varredeira V65;VW 17.210;138.057;7810;596;0.00;012 CLEITON;-;DIESEL S-10 - 01;-;PA4 ;-;CONSORCIO LIMPA GYN PA4;-
21/05/2025 01:46;VM2005;VM2005;Varredeira V65;VW 17.210;111.580;17221;1099;0.00;012 CLEITON;-;DIESEL S-10 - 01;-;PA4 ;-;CONSORCIO LIMPA GYN PA4;-
21/05/2025 01:52;VM2014;VM2014;Varredeira V65;VW 17.210;167.885;8002;710;0.00;012 CLEITON;-;DIESEL S-10 - 01;-;PA4 ;-;CONSORCIO LIMPA GYN PA4;-
21/05/2025 01:57;VM2012;VM2012;Varredeira V65;VW 17.210;122.095;8437;730;0.00;012 CLEITON;-;DIESEL S-10 - 01;-;PA4 ;-;CONSORCIO LIMPA GYN PA4;-
21/05/2025 02:13;VM2006;VM2006;Varredeira V65;VW 17.210;175.561;9552;749;0.00;012 CLEITON;-;DIESEL S-10 - 01;-;PA4 ;-;CONSORCIO LIMPA GYN PA4;-
21/05/2025 05:00;CL3038;CL3038;Compactador Planalto 19m³;VW 26.260;58.780;32407;3097;0.00;012 CLEITON;-;DIESEL S-10 - 01;-;PA4 ;-;CONSORCIO LIMPA GYN PA4;-
21/05/2025 05:09;PC2007;PC2007;Pá Carregadeira;636D;42.990;0;1958;0.00;012 CLEITON;-;DIESEL S-10 - 02;-;PA4 ;-;CONSORCIO LIMPA GYN PA4;-
21/05/2025 05:15;CB3062;CB3062;Basculante 12m³;Atego 2429;71.733;62141;2961;0.00;012 CLEITON;-;DIESEL S-10 - 02;-;PA4 ;-;CONSORCIO LIMPA GYN PA4;-
21/05/2025 05:22;CL3007;CL3007;Compactador Usimeca 19m³;VW 24.260 Aut.;48.838;61035;6080;0.00;012 CLEITON;-;DIESEL S-10 - 01;-;PA4 ;-;CONSORCIO LIMPA GYN PA4;-
